tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	expert_total	expert_retained_in_consensus	expert_not_retained	TP_annotations	FP_annotations	FN_annotations	expert_retained_annotations	expert_not_retained_annotations
mOTUs	topic	4	3	1	0	0.57	0.8	0.67	7	4	3	['metagenomics', 'sequence analysis', 'sequencing', 'taxonomic profiling']	['dna-seq', 'ngs', 'short reads']	['phylogeny']	['metagenomics', 'sequence analysis', 'sequencing', 'taxonomic profiling']	['dna-seq', 'ngs', 'short reads']
mOTUs	operation	5	2	0	0	0.71	1.0	0.83	7	5	2	['abundance profiling', 'activity profiling', 'taxonomic annotation', 'visualization', 'workflow']	['phylogeny', 'single-copy marker genes']	[]	['abundance profiling', 'activity profiling', 'taxonomic annotation', 'visualization', 'workflow']	['phylogeny', 'single-copy marker genes']
mOTUs	input data	1	0	0	0	1.0	1.0	1.0	1	1	0	['sequencing reads']	[]	[]	['sequencing reads']	[]
mOTUs	output data	2	0	0	0	1.0	1.0	1.0	2	2	0	['abundance table', 'taxonomic annotation']	[]	[]	['abundance table', 'taxonomic annotation']	[]
mOTUs	input format	1	0	0	0	1.0	1.0	1.0	1	1	0	['fastq']	[]	[]	['fastq']	[]
mOTUs	output format	0	1	2	0	0.0	0.0	0.0	1	0	1	[]	['text']	['bam', 'tsv']	[]	['text']
MEGAHIT	topic	6	0	0	0	1.0	1.0	1.0	5	5	0	['de novo assembly', 'metagenomics', 'sequence analysis', 'sequence assembly', 'sequencing', 'short reads']	[]	[]	['metagenomics', 'sequence analysis', 'sequence assembly', 'sequencing', 'short reads']	[]
MEGAHIT	operation	3	0	0	0	1.0	1.0	1.0	3	3	0	['bruijn graph', 'genome assemby', 'metagenomic assembly']	[]	[]	['bruijn graph', 'genome assemby', 'metagenomic assembly']	[]
MEGAHIT	input data	1	1	0	0	0.5	1.0	0.67	1	0	1	['sequencing reads']	['raw sequence']	[]	[]	['raw sequence']
MEGAHIT	output data	1	0	0	0	1.0	1.0	1.0	1	1	0	['contigs']	[]	[]	['contigs']	[]
MEGAHIT	input format	2	0	0	0	1.0	1.0	1.0	1	1	0	['fasta', 'fastq']	[]	[]	['fastq']	[]
MEGAHIT	output format	1	0	0	0	1.0	1.0	1.0	1	1	0	['fasta']	[]	[]	['fasta']	[]
checkM2	topic	4	3	0	0	0.57	1.0	0.73	7	4	3	['metagenomics', 'sequence analysis', 'sequencing', 'taxonomic annotation']	['dna-seq', 'ngs', 'short reads']	[]	['metagenomics', 'sequence analysis', 'sequencing', 'taxonomic annotation']	['dna-seq', 'ngs', 'short reads']
checkM2	operation	3	3	2	0	0.5	0.6	0.55	6	3	3	['genome annotation', 'genome quality', 'taxonomic annotation']	['completness', 'contamination', 'single-copy marker genes']	['genome completness', 'genome contamination']	['genome annotation', 'genome quality', 'taxonomic annotation']	['completness', 'contamination', 'single-copy marker genes']
checkM2	input data	1	0	0	0	1.0	1.0	1.0	1	1	0	['contigs']	[]	[]	['contigs']	[]
checkM2	output data	0	1	2	0	0.0	0.0	0.0	1	0	1	[]	['quality and taxonomic annotation']	['quality annotation', 'taxonomic annotation']	[]	['quality and taxonomic annotation']
checkM2	input format	1	0	0	0	1.0	1.0	1.0	1	1	0	['fasta']	[]	[]	['fasta']	[]
checkM2	output format	1	1	0	0	0.5	1.0	0.67	1	0	1	['tsv']	['text']	[]	[]	['text']
MetaBAT2	topic	4	0	0	0	1.0	1.0	1.0	4	4	0	['genome reconstruction', 'metagenomics', 'sequence analysis', 'sequencing']	[]	[]	['genome reconstruction', 'metagenomics', 'sequence analysis', 'sequencing']	[]
MetaBAT2	operation	2	0	0	0	1.0	1.0	1.0	1	1	0	['abundance and composition integration', 'binning']	[]	[]	['binning']	[]
MetaBAT2	input data	3	0	0	0	1.0	1.0	1.0	2	2	0	['contigs', 'coverage profiles', 'tetranucleotide frequencies']	[]	[]	['contigs', 'coverage profiles']	[]
MetaBAT2	output data	4	0	0	0	1.0	1.0	1.0	4	4	0	['abundance profiling', 'bins', 'co-abundance', 'metagenome assembled genomes mags']	[]	[]	['abundance profiling', 'bins', 'co-abundance', 'metagenome assembled genomes mags']	[]
MetaBAT2	input format	3	0	0	0	1.0	1.0	1.0	2	2	0	['bam', 'fasta', 'tsv']	[]	[]	['fasta', 'tsv']	[]
MetaBAT2	output format	2	0	0	0	1.0	1.0	1.0	2	2	0	['fasta', 'tsv']	[]	[]	['fasta', 'tsv']	[]
