tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	TP_annotations	FP_annotations	FN_annotations
STAR	topic	2	0	0	0	1.0	1.0	1.0	['rna sequencing', 'sequence alignment']	[]	[]
STAR	operation	2	0	0	0	1.0	1.0	1.0	['alignment of rna sequencing to reference sequence (or genome)', 'read mapping']	[]	[]
STAR	input data	3	2	0	0	0.6	1.0	0.75	['gene annotation', 'raw sequencing reads', 'reference genome']	['raw sequences', 'read sequencing']	[]
STAR	output data	1	0	0	0	1.0	1.0	1.0	['alignment file']	[]	[]
STAR	input format	3	0	0	0	1.0	1.0	1.0	['fasta', 'fastq', 'gtf']	[]	[]
STAR	output format	2	1	0	0	0.67	1.0	0.8	['bam', 'sam']	['cram']	[]
Samtools_index	topic	2	0	0	0	1.0	1.0	1.0	['dna sequencing', 'sequence alignment']	[]	[]
Samtools_index	operation	1	0	0	0	1.0	1.0	1.0	['indexing alignment file']	[]	[]
Samtools_index	input data	1	0	0	0	1.0	1.0	1.0	['alignment file']	[]	[]
Samtools_index	output data	1	0	0	0	1.0	1.0	1.0	['index alignment file']	[]	[]
Samtools_index	input format	3	0	0	0	1.0	1.0	1.0	['bam', 'cram', 'sam']	[]	[]
Samtools_index	output format	3	0	0	0	1.0	1.0	1.0	['bai', 'crai', 'csi']	[]	[]
Canu	topic	2	1	0	0	0.67	1.0	0.8	['de novo assembly', 'long read data processing']	['assemble genomes de novo']	[]
Canu	operation	3	3	0	0	0.5	1.0	0.67	['contig assembly', 'read correction', 'read trimming']	['assembling of long read', 'correction of long reads', 'trimming of long reads']	[]
Canu	input data	1	1	0	0	0.5	1.0	0.67	['raw long sequencing reads']	['raw reads']	[]
Canu	output data	2	2	1	0	0.5	0.67	0.57	['assembled contigs', 'assembled scaffolds']	['assembly', 'reads self-corrected']	['unassembled corrected reads']
Canu	input format	2	0	0	0	1.0	1.0	1.0	['fasta', 'fastq']	[]	[]
Canu	output format	3	0	0	0	1.0	1.0	1.0	['fasta', 'fastq', 'gfa']	[]	[]
Bedtools_annotate	topic	0	1	1	0	0.0	0.0	0.0	[]	['annotation of genome regions']	['genomic comparaison']
Bedtools_annotate	operation	0	1	1	0	0.0	0.0	0.0	[]	['annotate']	['genomic interval annotation']
Bedtools_annotate	input data	3	2	0	0	0.6	1.0	0.75	['annotation tracks', 'genomic features', 'sequence variants']	['catalog variant', 'genomic feature']	[]
Bedtools_annotate	output data	2	2	0	0	0.5	1.0	0.67	['annotated intervals', 'coverage statistics']	['coverage annotated file', 'overlap annotated file']	[]
Bedtools_annotate	input format	3	0	0	0	1.0	1.0	1.0	['bed', 'gff', 'vcf']	[]	[]
Bedtools_annotate	output format	3	0	0	0	1.0	1.0	1.0	['bed', 'gff', 'vcf']	[]	[]
ClusterProfiler	topic	3	2	0	0	0.6	1.0	0.75	['clustering', 'enrichment analysis for omics data', 'visualization of enrichment data']	['annotation', 'ontology']	[]
ClusterProfiler	operation	6	0	0	0	1.0	1.0	1.0	['biological theme comparison', 'data visualization', 'gene set enrichment analysis', 'id conversion', 'over-representation analysis', 'semantic similarity analysis']	[]	[]
ClusterProfiler	input data	1	1	2	0	0.5	0.33	0.4	['gene lists']	['lists of differentially expressed genes']	['differential expression results', 'ontology datasets']
ClusterProfiler	output data	2	3	0	0	0.4	1.0	0.57	['enrichment results', 'visualizations']	['annotation', 'plots', 'reports of enrichment']	[]
ClusterProfiler	input format	0	1	1	0	0.0	0.0	0.0	[]	['tsv']	['dsv']
ClusterProfiler	output format	0	3	2	0	0.0	0.0	0.0	[]	['jpeg', 'png', 'tsv']	['dsv', 'image format']
bwa	topic	2	0	0	0	1.0	1.0	1.0	['dna sequencing', 'sequence alignment']	[]	[]
bwa	operation	1	0	0	0	1.0	1.0	1.0	['alignment of dna sequencing to reference sequence (or genome)']	[]	[]
bwa	input data	2	2	0	0	0.5	1.0	0.67	['reference genome', 'short sequencing reads']	['raw sequence', 'read sequencing']	[]
bwa	output data	1	0	0	0	1.0	1.0	1.0	['alignement file']	[]	[]
bwa	input format	2	0	0	0	1.0	1.0	1.0	['fasta', 'fastq']	[]	[]
bwa	output format	1	2	0	0	0.33	1.0	0.5	['sam']	['bam', 'cram']	[]
deseq2	topic	4	0	0	0	1.0	1.0	1.0	['condition comparisons', 'differential gene expression', 'rna sequencing', 'rna-seq']	[]	[]
deseq2	operation	2	0	0	0	1.0	1.0	1.0	['normalization of expression matrix', 'statistical differential gene expression detection']	[]	[]
deseq2	input data	2	0	0	0	1.0	1.0	1.0	['experimental design metadata', 'expression matrix']	[]	[]
deseq2	output data	1	1	1	0	0.5	0.5	0.5	['differential expression results']	['statistical tests of differential gene expression for each gene']	['normalize expression matrix']
deseq2	input format	0	1	1	0	0.0	0.0	0.0	[]	['tsv']	['dsv']
deseq2	output format	0	1	1	0	0.0	0.0	0.0	[]	['tsv']	['dsv']
