Source	Tool name	Topic	Operation	Input data	Output data	Input format	Output format
proposition DeepSeek-V3.1	Samtools_index	Sequence analysis, Alignment indexing, Data management, Genome analysis	Index creation, Coordinate sorting, Random access enabling, File compression handling	Read alignments, Sequence alignments	Alignment index	SAM, BAM, CRAM	BAI, CSI, CRAI
Consensus expert LLM	ClusterProfiler	Enrichment analysis for OMICs data, Clustering, Visualization of enrichment data	Over-Representation Analysis, Gene Set Enrichment Analysis, Biological theme comparison, Semantic Similarity Analysis, Data visualization, ID conversion	Gene lists, Ontology datasets, Differential expression results	Enrichment results, Visualizations 	DSV	image format, DSV
Consensus expert	ClusterProfiler	Enrichment analysis for OMICs data, Annotation, Clustering, Visualization of enrichment data, Ontology	Over-Representation Analysis, Gene Set Enrichment Analysis, Biological theme comparison, Semantic Similarity Analysis	Lists of differentially expressed genes	Reports of enrichment, annotation, plots	TSV	PNG, JPEG, TSV
proposition DeepSeek-V3.1	ClusterProfiler	Functional genomics, Enrichment analysis, Pathway analysis, Gene ontology, Systems biology, Omics data analysis?	Over-representation analysis, Gene set enrichment analysis, Biological theme comparison, Data visualization, Statistical testing, ID conversion	Gene lists, Expression data, Genome-wide datasets	Enrichment results, Statistical scores, Visualizations	CSV, TSV, TXT, R data objects	R data objects, Graphics, HTML, CSV, TSV
Consensus expert LLM	Sniffles2	Detection of structural variants	Detection of structural variants from long reads 	Alignment file, Reference genome	Structural sequence variants	BAM, FASTA, BED	VCF, SNF
Consensus expert	Sniffles2	Detection of structural variants	Detection of structural variants from long reads, Detection of mosaic variants 	Alignment file	catalog structural variants	BAM, FASTA, BED	VCF, SNF
proposition DeepSeek-V3.1	Sniffles2	Structural variation, Genomics, Long-read sequencing, Population genetics, Mosaic variant detection	Structural variant calling, Repeat-aware clustering, Consensus sequence generation, Coverage-adaptive filtering, Genotyping	Aligned long reads, Reference genome	Structural variants, Genotyped variants, Mosaic variants	BAM, FASTA	VCF
Consensus expert LLM	htseq-count	RNA sequencing, Gene expression quantification	Counting reads in features	Alignments sequence, Gene annotation	Expression matrix	SAM, BAM, GTF, GFF	TSV
Consensus expert	htseq-count	RNA sequencing, Gene expression	Counting reads in features	Alignments sequence	Expression matrix	BAM, CRAM	TSV
proposition DeepSeek-V3.1	htseq-count	RNA sequencing, Transcriptomics, Gene expression quantification, Count data, Alternative splicing	Read counting, Feature overlap detection, Read pair handling, Ambiguity resolution, Strandedness handling	Aligned reads, Gene annotation	Count matrix	SAM, BAM, GTF, GFF	TXT, TSV
Consensus expert LLM	Bedtools_annotate	Genomic comparaison	genomic interval annotation	Genomic features, Sequence variants, Annotation tracks	Annotated intervals, Coverage statistics	BED, VCF, GFF	BED, VCF, GFF
Consensus expert	Bedtools_annotate	annotation of genome regions	Annotate	catalog variant, genomic feature	coverage annotated file, overlap annotated file	BED, VCF, GFF	BED, VCF, GFF
proposition DeepSeek-V3.1	Bedtools_annotate	Genome analysis, Comparative genomics, Functional annotation, Variant analysis	Genomic interval analysis, Overlap calculation, Feature counting, Coverage fraction calculation, Strand-specific analysis	Genomic features, Sequence variants, Annotation tracks	Annotated intervals, Count data, Coverage statistics	BED, GFF, VCF	BED, Tabular text
