tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	TP_annotations	FP_annotations	FN_annotations
MOFA2	topic	4	0	0	0	1.0	1.0	1.0	['dimensionality reduction', 'factor analysis', 'joint dimension reduction', 'multi-omics data integration']	[]	[]
MOFA2	operation	6	0	0	0	1.0	1.0	1.0	['bayesian inference', 'feature weights inspection', 'joint matrix factorisation', 'matrix factorization', 'reduction dimension', 'variance decomposition']	[]	[]
MOFA2	input data	2	0	0	0	1.0	1.0	1.0	['omics matrices', 'paired omics data']	[]	[]
MOFA2	output data	2	0	0	0	1.0	1.0	1.0	['factors and latent spaces', 'feature loadings']	[]	[]
MOFA2	input format	2	0	0	0	1.0	1.0	1.0	['matrices', 'vectors (r)']	[]	[]
MOFA2	output format	3	0	0	0	1.0	1.0	1.0	['hdf5', 'matrices', 'mofa object']	[]	[]
SNF	topic	6	0	0	0	1.0	1.0	1.0	['clustering', 'disease subtyping', 'multiomics data integration', 'network analysis', 'network integration', 'patient stratification']	[]	[]
SNF	operation	5	2	2	0	0.71	0.71	0.71	['clustering', 'consensus network building', 'fused sample network creation', 'kernel-based integration', 'networks fusion']	['sample similarity matrices creation', 'sample similarity networks creation']	['similarity matrices creation', 'similarity networks creation']
SNF	input data	5	1	0	0	0.83	1.0	0.91	['clinical data', 'methylation', 'mirna)', 'multi-omics profiles (e.g.mrna', 'omics']	['prepared data']	[]
SNF	output data	4	0	0	0	1.0	1.0	1.0	['fused networks', 'fused similarity matrix', 'patient clusters', 'similarity matrices']	[]	[]
SNF	input format	3	0	0	0	1.0	1.0	1.0	['csv', 'matrix', 'tsv']	[]	[]
SNF	output format	4	0	0	0	1.0	1.0	1.0	['csv', 'graph files', 'matrix', 'tsv']	[]	[]
RWR	topic	6	0	0	0	1.0	1.0	1.0	['disease gene prediction', 'functional module detection', 'network analysis', 'network exploration', 'network propagation', 'prioritization analysis']	[]	[]
RWR	operation	1	0	0	0	1.0	1.0	1.0	['random walk with restart']	[]	[]
RWR	input data	2	1	4	0	0.67	0.33	0.44	['edge weights', 'restart probability']	['network and seed']	['biological networks (e.g.ppi)', 'network', 'seed', 'seed nodes (e.g.disease genes)']
RWR	output data	6	0	0	0	1.0	1.0	1.0	['convergence scores', 'network and seed', 'node lists', 'propagation profiles', 'ranked node lists', 'subnetwork modules']	[]	[]
RWR	input format	4	0	0	0	1.0	1.0	1.0	['adjacency matrix (tsv/csv)', 'edge list', 'graphml', 'seed (text file)']	[]	[]
RWR	output format	5	0	0	0	1.0	1.0	1.0	['edge lists (text file)', 'network files (gml/sif)', 'ranked tsv/csv', 'seed (text file)', 'visualization files']	[]	[]
String.db	topic	3	0	0	0	1.0	1.0	1.0	['functional enrichment', 'protein-protein interaction networks', 'systems biology']	[]	[]
String.db	operation	8	0	0	0	1.0	1.0	1.0	['clustering', 'confidence scoring', 'creation', 'data retrieval', 'enrichment analysis', 'exploration of interaction networks', 'network construction', 'visualization']	[]	[]
String.db	input data	6	0	0	0	1.0	1.0	1.0	['gene name', 'organism-specific queries', 'protein identifiers', 'protein name', 'protein sequences', 'sequences']	[]	[]
String.db	output data	5	0	0	0	1.0	1.0	1.0	['confidence scores', 'enrichment results', 'functional annotations', 'interaction networks', 'networks']	[]	[]
String.db	input format	4	0	0	0	1.0	1.0	1.0	['api queries', 'csv (protein lists)', 'fasta', 'txt']	[]	[]
String.db	output format	7	0	0	0	1.0	1.0	1.0	['cys', 'cytoscape-compatible formats', 'json', 'png', 'svg', 'tsv', 'xml']	[]	[]
MULTIXRANK	topic	5	0	0	0	1.0	1.0	1.0	['multi-layer networks', 'network analysis', 'network biology', 'network exploration', 'node prioritization']	[]	[]
MULTIXRANK	operation	4	0	0	0	1.0	1.0	1.0	['heterogeneous networks', 'network propagation', 'prioritization algorithm', 'random walk with restart']	[]	[]
MULTIXRANK	input data	5	0	0	0	1.0	1.0	1.0	['edge weights', 'heterogeneous networks', 'multi-layer network graphs', 'network and seed', 'seed nodes']	[]	[]
MULTIXRANK	output data	4	0	0	0	1.0	1.0	1.0	['network ranking', 'network result', 'ranked node lists', 'scores']	[]	[]
MULTIXRANK	input format	7	0	0	0	1.0	1.0	1.0	['csv', 'gmt', 'json', 'sif', 'tsv', 'txt', 'yml']	[]	[]
MULTIXRANK	output format	3	0	0	0	1.0	1.0	1.0	['csv', 'sif', 'tsv']	[]	[]
