Source	Tool name	Topic	Operation	Input data	Output data	Input format	Output format
proposition expert	Cytoscape	Network visualisation, Network handling, data integration, Network exploration, Graph theory	Construction of networks, edition of networks, visualization of networks, exploration, graph metrics, graph topology	network,  node metadata, edge metadata, list of nodes and edges	network, pictures, metrics, analysis report	SIF, GML, SBML, BioPAX, GraphML, XLS, TSV, Txt	SIF, HTML, cys, TEXT, sif, txt, pdf, PNG, SVG, JPEG
proposition DeepSeek-V3.1	Cytoscape	Network biology, Systems biology, Bioinformatics, Visualization, Molecular interaction networks, Protein-protein interactions, Metabolic pathways, Co-occurrence networks	Network visualization, Data integration, Graph analysis, Cluster detection, Pathway mapping, Attribute-based mapping, App-based extensibility, Automation via scripting	 Node and edge tables, Attribute data, Network topology, Annotated genomes, Phenotypic traits	Visualized networks, Annotated graphs, Statistical results, Interaction predictions	SIF, GML, XGMML, CSV, TSV, GraphML	PNG, PDF, SVG, Cytoscape session files (CYS), HTML
Consensus expert LLM	eggNOG-mapper	Functional annotation of proteins, Functional genomics, Orthology assignment, Metagenomic annotation, Protein function prediction	annotation of genes and proteins using multiple functional databases, Orthology mapping, Domain prediction, Hierarchical annotation, Large-scale sequence analysis	protein sequences, gene sequences, Nucleotide sequences, Metagenomic contigs	table containing multiple annotations for each gene or protein, Functional annotations, Orthologous groups, Taxonomic assignments	FASTA, GZIP	TSV, JSON
Consensus expert	eggNOG-mapper	Functional annotation of proteins	annotation of genes and proteins using multiple functional databases	 protein sequences, gene sequences	table containing multiple annotations for each gene or protein	FASTA	TSV
proposition expert	eggNOG-mapper	Functional annotation of proteins	annotation of genes and proteins using multiple functional databases	 protein sequences, gene sequences	table containing multiple annotations for each gene or protein	FASTA	TSV
proposition DeepSeek-V3.1	eggNOG-mapper	Functional genomics, Orthology assignment, Metagenomic annotation, Phylogenetics, Protein function prediction	Orthology mapping, Functional transfer, Domain prediction, Hierarchical annotation, Large-scale sequence analysis	 Protein sequences, Nucleotide sequences, Metagenomic contigs	Functional annotations, Orthologous groups, Taxonomic assignments	FASTA, GZIP	TSV, JSON, HTML
Consensus expert LLM	Fluxer	Systems biology, metabolic modelling, Metabolic flux analysis, Pathway visualization, Biochemistry education	metabolic model visualisation, metabolic model simulation, Flux Balance Analysis (FBA), pathway mapping, Flux diagram rendering, Customizable layout creation, Interactive visualization	metabolic model	 pictures, networks, metabolic model,  Biochemical pathway diagrams, Annotated flux maps, Visualizations	SBML	PNG, SVG, GraphML, SBML, PDF
Consensus expert	Fluxer	Systems biology, metabolic modelling	metabolic model visualisation, metabolic model simulation, Flux Balance Analysis (FBA)	metabolic model	 pictures, networks, metabolic model	SBML	PNG, SVG, GraphML, SBML
proposition DeepSeek-V3.1	Fluxer	Metabolic flux analysis, Pathway visualization, Biochemistry education, Reaction networks, Enzyme kinetics	Pathway mapping, Flux diagram rendering, Customizable layout creation, Interactive visualization, Metabolic context overlay	Reaction lists, Flux values, Metabolic pathways	 Biochemical pathway diagrams, Annotated flux maps, Visualizations	SBML, CSV, TSV 	SVG, PDF, PNG
Consensus expert LLM	GSEA	functional annotation, Functional genomics, Enrichment analysis, Pathway analysis, Systems biology, Molecular signatures	Gene Set Enrichment Analysis, functional enrichment analysis, Rank-based enrichment, Statistical permutation, Gene set scoring, Visualization, Single-sample variant, Multi-omics integration	ranked list genes/proteins (with weights) and annotations data (cellular functions/biological processes),  Gene expression matrix, Gene sets	annotation P values, graph, pictures, Enrichment scores, False discovery rates (FDR), Normalized enrichment plots, Ranked gene lists	TXT, GMT, GST, GCT, CLS, GMX	CSV, FI, SVG, PNG JPEG, HTML reports, TXT, TSV, PDF, Excel files 
Consensus expert	GSEA	functional annotation	Gene Set Enrichment Analysis, functional enrichment analysis	ranked list genes/proteins (with weights) and annotations data (cellular functions/biological processes)	annotation P values, graph, pictures	TXT, GMT, GST	CSV, FI, SVG, PNG JPEG
proposition DeepSeek-V3.1	GSEA	Transcriptomics, Functional genomics, Enrichment analysis, Pathway analysis, Systems biology, Phenotype association, Molecular signatures	Rank-based enrichment, Statistical permutation, Normalization, Gene set scoring, Visualization, Single-sample variant, Multi-omics integration	 Gene expression matrix, Phenotype labels, Gene sets	Enrichment scores, False discovery rates (FDR), Normalized enrichment plots, Ranked gene lists	GCT, CLS, GMX, GMT	HTML reports, TXT, TSV, PDF, Excel files 
Consensus expert LLM	MOFA2	Multi-omics data integration, joint dimension reduction, dimensionality reduction, factor analysis	bayesian inference, joint matrix factorisation, variance decomposition, matrix factorization, reduction dimension, feature weights inspection	omics matrices, paired omics data	factors and latent spaces, feature loadings	Matrices, r vectors	MOFA object, hdf5, matrices
Consensus expert	MOFA2	Multi-omics data integration, joint dimension reduction	bayesian inference, joint matrix factorisation, variance decomposition, matrix factorization, reduction dimension, feature weights inspection	omics matrices, paired omics data	factors and latent spaces	Matrices, r vectors	MOFA object, hdf5, matrices
proposition DeepSeek-V3.1	MOFA2	Multi-omics integration, dimensionality reduction, factor analysis, personalized medicine, single-cell omics	Factor analysis, variational inference, latent variable modeling, sparse learning, missing data handling, dimensionality reduction 	Multi-omics data	Latent factors, feature loadings, imputed data, outlier detection	CSV, TSV, HDF5, AnnData	HDF5, CSV, TSV, HTML, PDF
Consensus expert LLM	MULTIXRANK	Network exploration, Network analysis, Network biology, multi-layer networks, node prioritization	random walk with restart, Heterogeneous networks, network propagation, prioritization algorithm	Network and seed, Heterogeneous networks, Multi-layer network graphs,  edge weights, seed nodes	network result, network ranking, Ranked node lists, scores	yaml, txt, TSV, CSV, SIF, JSON, GMT	sif, TSV, CSV
Consensus expert	MULTIXRANK	Network exploration, Network analysis	random walk with restart, Heterogeneous networks	Network and seed, Heterogeneous networks	network result, network ranking	yaml, TSV, txt	sif, TSV
proposition DeepSeek-V3.1	MULTIXRANK	Network biology, multi-layer networks, node prioritization, systems medicine, pathway analysis	Random walk with restart, network propagation, weighted aggregation, cross-layer scoring, prioritization algorithm	Multi-layer network graphs, node features, edge weights, seed nodes	Ranked node lists, scores	TSV, CSV, SIF, JSON, GMT	TSV, CSV
Consensus expert LLM	RWR	Network exploration, Network analysis, Network propagation, Prioritization analysis, Disease gene prediction, Functional module detection	random walk with restart	Network, seed, Biological networks, Seed nodes, Edge weights, Restart probability	Network and seed, node lists, Ranked node lists, Convergence scores, Subnetwork modules, Propagation profiles	seed, Adjacency matrix, Edge list, GraphML	 edge lists, seed, TSV, CSV, GML, SIF, Visualization files
Consensus expert	RWR	Network exploration, Network analysis	random walk with restart	Network and seed 	Network and seed, node lists	Edge list, seed	 edge lists, seed
proposition DeepSeek-V3.1	RWR	Network propagation, Prioritization analysis, Disease gene prediction, Functional module detection, Systems medicine, Omics integration	Graph traversal, Probability diffusion, Seed-based prioritization, Convergence calculation, Topological analysis, Custom restart parameter tuning	Biological networks, Seed nodes, Edge weights, Restart probability	Ranked node lists, Convergence scores, Subnetwork modules, Propagation profiles	Adjacency matrix, Edge list, GraphML	TSV, CSV, GML, SIF, Visualization files
Consensus expert LLM	SNF	Network analysis, Network integration, multi-omics data integration, patient stratification, disease subtyping, clustering	similarity matrices creation, similarity networks creation, networks fusion, fused sample network creation, clustering, kernel-based integration, consensus network building	omics, clinical data, Multi-omics profiles	fused similarity matrix, Patient clusters, fused networks, similarity matrices	matrix, TSV, CSV	matrix, TSV, CSV, Graph files
Consensus expert	SNF	Network analysis, Network integration, multi-omics data integration	sample similarity matrices creation, sample similarity networks creation, networks fusion, fused sample network creation, clustering	prepared data, omics, clinical data	fused similarity matrix	matrix	matrix
proposition DeepSeek-V3.1	SNF	Multi-omics integration, patient stratification, disease subtyping, clustering, precision medicine	Similarity network fusion, kernel-based integration, spectral clustering, affinity matrix construction, consensus network building	Multi-omics profiles	Patient clusters, fused networks, similarity matrices	TSV, CSV, Matrix	TSV, CSV, Graph files
Consensus expert LLM	String.db	Protein-protein interaction networks, Systems biology, Functional enrichment, Systems biology	Creation, visualization, exploration of interaction networks, enrichment analysis, clustering, Data retrieval, Confidence scoring, Network construction	gene name, protein name, sequences, Protein identifiers, Organism-specific queries, Protein sequences	 networks, Interaction networks, Confidence scores, Functional annotations, Enrichment results	TXT, FASTA, CSV, API queries	cys, png, svg,  tsv, XML, JSON, Cytoscape-compatible formats 
Consensus expert	String.db	Protein-protein interaction networks, Systems biology	Creation, visualization, exploration of interaction networks, enrichment analysis, clustering	gene name, protein name, sequences	 networks	TXT	cys, png, svg, tsv
proposition DeepSeek-V3.1	String.db	Protein-protein interactions, Functional enrichment, Genomics, Proteomics, Systems biology, Comparative genomics, Text mining, Evolutionary inference	Data retrieval, Confidence scoring, Network construction, Orthology transfer, Text mining, Genomic context prediction, Functional enrichment analysis, Cross-species propagation	Protein identifiers, Gene name, Organism-specific queries, Protein sequences	Interaction networks, Confidence scores, Functional annotations, Enrichment results	FASTA, TXT, CSV, API queries	TSV, XML, JSON, PNG, SVG, Cytoscape-compatible formats 
