tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	TP_annotations	FP_annotations	FN_annotations	expert_total	expert_retained_in_consensus	expert_not_retained	expert_retained_annotations	expert_not_retained_annotations
Canu	output format	3	0	0	0	1.0	1.0	1.0	['fasta', 'fastq', 'gfa']	[]	[]	2	2	0	['fasta', 'fastq']	[]
STAR	topic	2	0	0	0	1.0	1.0	1.0	['rna sequencing', 'sequence alignment']	[]	[]	2	2	0	['rna sequencing', 'sequence alignment']	[]
STAR	operation	2	0	0	0	1.0	1.0	1.0	['alignment of rna sequencing to reference sequence (or genome)', 'read mapping']	[]	[]	1	1	0	['alignment of rna sequencing to reference sequence (or genome)']	[]
STAR	input data	3	2	0	0	0.6	1.0	0.75	['gene annotation', 'raw sequencing reads', 'reference genome']	['raw sequences', 'read sequencing']	[]	3	1	2	['reference genome']	['raw sequences', 'read sequencing']
STAR	output data	1	0	0	0	1.0	1.0	1.0	['alignment file']	[]	[]	1	1	0	['alignment file']	[]
STAR	input format	3	0	0	0	1.0	1.0	1.0	['fasta', 'fastq', 'gtf']	[]	[]	3	3	0	['fasta', 'fastq', 'gtf']	[]
STAR	output format	2	1	0	0	0.67	1.0	0.8	['bam', 'sam']	['cram']	[]	2	1	1	['bam']	['cram']
Sniffles2	topic	1	0	0	0	1.0	1.0	1.0	['detection of structural variants']	[]	[]	1	1	0	['detection of structural variants']	[]
Sniffles2	operation	1	1	0	0	0.5	1.0	0.67	['detection of structural variants from long reads']	['detection of mosaic variants']	[]	2	1	1	['detection of structural variants from long reads']	['detection of mosaic variants']
Sniffles2	input data	2	0	0	0	1.0	1.0	1.0	['alignment file', 'reference genome']	[]	[]	1	1	0	['alignment file']	[]
Sniffles2	output data	0	1	1	0	0.0	0.0	0.0	[]	['catalog structural variants']	['structural sequence variants']	1	0	1	[]	['catalog structural variants']
Sniffles2	input format	3	0	0	0	1.0	1.0	1.0	['bam', 'bed', 'fasta']	[]	[]	3	3	0	['bam', 'bed', 'fasta']	[]
Sniffles2	output format	2	0	0	0	1.0	1.0	1.0	['snf', 'vcf']	[]	[]	2	2	0	['snf', 'vcf']	[]
ClusterProfiler	topic	3	2	0	0	0.6	1.0	0.75	['clustering', 'enrichment analysis for omics data', 'visualization of enrichment data']	['annotation', 'ontology']	[]	5	3	2	['clustering', 'enrichment analysis for omics data', 'visualization of enrichment data']	['annotation', 'ontology']
ClusterProfiler	operation	6	0	0	0	1.0	1.0	1.0	['biological theme comparison', 'data visualization', 'gene set enrichment analysis', 'id conversion', 'over-representation analysis', 'semantic similarity analysis']	[]	[]	4	4	0	['biological theme comparison', 'gene set enrichment analysis', 'over-representation analysis', 'semantic similarity analysis']	[]
ClusterProfiler	input data	1	1	2	0	0.5	0.33	0.4	['gene lists']	['lists of differentially expressed genes']	['differential expression results', 'ontology datasets']	1	0	1	[]	['lists of differentially expressed genes']
ClusterProfiler	output data	2	3	0	0	0.4	1.0	0.57	['enrichment results', 'visualizations']	['annotation', 'plots', 'reports of enrichment']	[]	3	0	3	[]	['annotation', 'plots', 'reports of enrichment']
ClusterProfiler	input format	0	1	1	0	0.0	0.0	0.0	[]	['tsv']	['dsv']	1	0	1	[]	['tsv']
ClusterProfiler	output format	0	3	2	0	0.0	0.0	0.0	[]	['jpeg', 'png', 'tsv']	['dsv', 'image format']	3	0	3	[]	['jpeg', 'png', 'tsv']
bwa	topic	2	0	0	0	1.0	1.0	1.0	['dna sequencing', 'sequence alignment']	[]	[]	2	2	0	['dna sequencing', 'sequence alignment']	[]
bwa	operation	1	0	0	0	1.0	1.0	1.0	['alignment of dna sequencing to reference sequence (or genome)']	[]	[]	1	1	0	['alignment of dna sequencing to reference sequence (or genome)']	[]
bwa	input data	2	2	0	0	0.5	1.0	0.67	['reference genome', 'short sequencing reads']	['raw sequence', 'read sequencing']	[]	2	0	2	[]	['raw sequence', 'read sequencing']
bwa	output data	1	0	0	0	1.0	1.0	1.0	['alignment file']	[]	[]	1	1	0	['alignment file']	[]
bwa	input format	2	0	0	0	1.0	1.0	1.0	['fasta', 'fastq']	[]	[]	2	2	0	['fasta', 'fastq']	[]
bwa	output format	1	2	0	0	0.33	1.0	0.5	['sam']	['bam', 'cram']	[]	3	1	2	['sam']	['bam', 'cram']
