tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	TP_annotations	FP_annotations	FN_annotations	deepseek_total	deepseek_retained_in_consensus	deepseek_not_retained	mixed_annotations_count	deepseek_retained_annotations	deepseek_not_retained_annotations	mixed_annotations
Bedtools_annotate	output data	2	1	0	0	0.67	1.0	0.8	['annotated intervals', 'coverage statistics']	['count data']	[]	3	2	1	0	['annotated intervals', 'coverage statistics']	['count data']	[]
Bedtools_annotate	input format	3	0	0	0	1.0	1.0	1.0	['bed', 'gff', 'vcf']	[]	[]	3	3	0	0	['bed', 'gff', 'vcf']	[]	[]
Bedtools_annotate	output format	1	1	2	0	0.5	0.33	0.4	['bed']	['tabular text']	['gff', 'vcf']	2	1	1	0	['bed']	['tabular text']	[]
Canu	topic	1	3	1	0	0.25	0.5	0.33	['de novo assembly']	['genome assembly', 'genomics', 'long-read sequencing']	['long read data processing']	4	1	3	0	['de novo assembly']	['genome assembly', 'genomics', 'long-read sequencing']	[]
Canu	operation	3	2	0	0	0.6	1.0	0.75	['contig assembly', 'read correction', 'read trimming']	['repeat separation', 'tiling']	[]	5	3	2	0	['contig assembly', 'read correction', 'read trimming']	['repeat separation', 'tiling']	[]
Canu	input data	1	0	0	0	1.0	1.0	1.0	['raw long sequencing reads']	[]	[]	1	1	0	0	['raw long sequencing reads']	[]	[]
Canu	output data	3	1	0	0	0.75	1.0	0.86	['assembled contigs', 'assembled scaffolds', 'unassembled corrected reads']	['unassembled reads']	[]	3	2	1	1	['assembled contigs', 'assembled scaffolds']	['unassembled reads']	['unassembled corrected reads']
Canu	input format	2	1	0	0	0.67	1.0	0.8	['fasta', 'fastq']	['bgzip']	[]	3	2	1	0	['fasta', 'fastq']	['bgzip']	[]
Canu	output format	2	1	1	0	0.67	0.67	0.67	['fasta', 'gfa']	['tab']	['fastq']	3	2	1	0	['fasta', 'gfa']	['tab']	[]
STAR	topic	1	4	1	0	0.2	0.5	0.29	['sequence alignment']	['gene expression', 'rna-seq', 'splicing analysis', 'transcriptomics']	['rna sequencing']	5	1	4	0	['sequence alignment']	['gene expression', 'rna-seq', 'splicing analysis', 'transcriptomics']	[]
STAR	operation	1	3	1	0	0.25	0.5	0.33	['read mapping']	['genome indexing', 'sam/bam file generation', 'splice-aware alignment']	['alignment of rna sequencing to reference sequence (or genome)']	4	1	3	0	['read mapping']	['genome indexing', 'sam/bam file generation', 'splice-aware alignment']	[]
STAR	input data	3	0	0	0	1.0	1.0	1.0	['gene annotation', 'raw sequencing reads', 'reference genome']	[]	[]	3	3	0	0	['gene annotation', 'raw sequencing reads', 'reference genome']	[]	[]
STAR	output data	0	2	1	0	0.0	0.0	0.0	[]	['aligned reads', 'sorted alignments']	['alignment file']	2	0	2	0	[]	['aligned reads', 'sorted alignments']	[]
STAR	input format	3	0	0	0	1.0	1.0	1.0	['fasta', 'fastq', 'gtf']	[]	[]	3	3	0	0	['fasta', 'fastq', 'gtf']	[]	[]
STAR	output format	2	0	0	0	1.0	1.0	1.0	['bam', 'sam']	[]	[]	2	2	0	0	['bam', 'sam']	[]	[]
Sniffles2	topic	0	5	1	0	0.0	0.0	0.0	[]	['genomics', 'long-read sequencing', 'mosaic variant detection', 'population genetics', 'structural variation']	['detection of structural variants']	5	0	5	0	[]	['genomics', 'long-read sequencing', 'mosaic variant detection', 'population genetics', 'structural variation']	[]
Sniffles2	operation	0	5	1	0	0.0	0.0	0.0	[]	['consensus sequence generation', 'coverage-adaptive filtering', 'genotyping', 'repeat-aware clustering', 'structural variant calling']	['detection of structural variants from long reads']	5	0	5	0	[]	['consensus sequence generation', 'coverage-adaptive filtering', 'genotyping', 'repeat-aware clustering', 'structural variant calling']	[]
Sniffles2	input data	1	1	1	0	0.5	0.5	0.5	['reference genome']	['aligned long reads']	['alignment file']	2	1	1	0	['reference genome']	['aligned long reads']	[]
Sniffles2	output data	1	3	0	0	0.25	1.0	0.4	['structural sequence variants']	['genotyped variants', 'mosaic variants', 'structural variants']	[]	3	0	3	1	[]	['genotyped variants', 'mosaic variants', 'structural variants']	['structural sequence variants']
Sniffles2	input format	2	0	1	0	1.0	0.67	0.8	['bam', 'fasta']	[]	['bed']	2	2	0	0	['bam', 'fasta']	[]	[]
Sniffles2	output format	1	0	1	0	1.0	0.5	0.67	['vcf']	[]	['snf']	1	1	0	0	['vcf']	[]	[]
ClusterProfiler	topic	0	6	3	0	0.0	0.0	0.0	[]	['enrichment analysis', 'functional genomics', 'gene ontology', 'omics data analysis?', 'pathway analysis', 'systems biology']	['clustering', 'enrichment analysis for omics data', 'visualization of enrichment data']	6	0	6	0	[]	['enrichment analysis', 'functional genomics', 'gene ontology', 'omics data analysis?', 'pathway analysis', 'systems biology']	[]
ClusterProfiler	operation	5	1	1	0	0.83	0.83	0.83	['biological theme comparison', 'data visualization', 'gene set enrichment analysis', 'id conversion', 'over-representation analysis']	['statistical testing']	['semantic similarity analysis']	6	5	1	0	['biological theme comparison', 'data visualization', 'gene set enrichment analysis', 'id conversion', 'over-representation analysis']	['statistical testing']	[]
ClusterProfiler	input data	3	2	0	0	0.6	1.0	0.75	['differential expression results', 'gene lists', 'ontology datasets']	['expression data', 'genome-wide datasets']	[]	3	1	2	2	['gene lists']	['expression data', 'genome-wide datasets']	['differential expression results', 'ontology datasets']
ClusterProfiler	output data	2	1	0	0	0.67	1.0	0.8	['enrichment results', 'visualizations']	['statistical scores']	[]	3	2	1	0	['enrichment results', 'visualizations']	['statistical scores']	[]
ClusterProfiler	input format	1	4	0	0	0.2	1.0	0.33	['dsv']	['csv', 'r data objects', 'tsv', 'txt']	[]	4	0	4	1	[]	['csv', 'r data objects', 'tsv', 'txt']	['dsv']
ClusterProfiler	output format	2	5	0	0	0.29	1.0	0.45	['dsv', 'image format']	['csv', 'graphics', 'html', 'r data objects', 'tsv']	[]	5	0	5	2	[]	['csv', 'graphics', 'html', 'r data objects', 'tsv']	['dsv', 'image format']
bwa	topic	2	3	0	0	0.4	1.0	0.57	['dna sequencing', 'sequence alignment']	['genomics', 'read mapping', 'variant discovery']	[]	5	2	3	0	['dna sequencing', 'sequence alignment']	['genomics', 'read mapping', 'variant discovery']	[]
bwa	operation	0	5	1	0	0.0	0.0	0.0	[]	['backtracking', 'bwa-mem algorithm', 'genome indexing', 'read alignment', 'sw algorithm']	['alignment of dna sequencing to reference sequence (or genome)']	5	0	5	0	[]	['backtracking', 'bwa-mem algorithm', 'genome indexing', 'read alignment', 'sw algorithm']	[]
bwa	input data	2	0	0	0	1.0	1.0	1.0	['reference genome', 'short sequencing reads']	[]	[]	2	2	0	0	['reference genome', 'short sequencing reads']	[]	[]
bwa	output data	0	1	1	0	0.0	0.0	0.0	[]	['aligned reads']	['alignment file']	1	0	1	0	[]	['aligned reads']	[]
bwa	input format	2	0	0	0	1.0	1.0	1.0	['fasta', 'fastq']	[]	[]	2	2	0	0	['fasta', 'fastq']	[]	[]
bwa	output format	1	2	0	0	0.33	1.0	0.5	['sam']	['bam', 'cram']	[]	3	1	2	0	['sam']	['bam', 'cram']	[]
