tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	TP_annotations	FP_annotations	FN_annotations	deepseek_total	deepseek_retained_in_consensus	deepseek_not_retained	mixed_annotations_count	deepseek_retained_annotations	deepseek_not_retained_annotations	mixed_annotations
GTDB-Tk	output format	3	0	1	0	1.0	0.75	0.86	['fasta', 'newick', 'tsv']	[]	['json']	3	3	0	0	['fasta', 'newick', 'tsv']	[]	[]
Anvi’o	topic	1	4	2	0	0.2	0.33	0.25	['metagenomics']	['functional annotation', 'genome binning', 'taxonomic profiling', 'visualization']	['comparative genomics', 'functional genomics']	5	1	4	0	['metagenomics']	['functional annotation', 'genome binning', 'taxonomic profiling', 'visualization']	[]
Anvi’o	operation	7	5	2	0	0.58	0.78	0.67	['annotation edition', 'assembly', 'binning refinement', 'genomic refining', 'interactive edition', 'interactive visualization', 'workflow']	['binning', 'contig profiling', 'gene calling', 'read recruitment', 'workflow management']	['functional annotation', 'taxonomic profiling']	7	2	5	5	['assembly', 'interactive visualization']	['binning', 'contig profiling', 'gene calling', 'read recruitment', 'workflow management']	['annotation edition', 'binning refinement', 'genomic refining', 'interactive edition', 'workflow']
Anvi’o	input data	1	2	4	0	0.33	0.2	0.25	['contigs']	['aligned reads', 'raw sequencing reads']	['functional annotations', 'raw sequence', 'sequence abundance profile', 'taxonomic profiles']	3	1	2	0	['contigs']	['aligned reads', 'raw sequencing reads']	[]
Anvi’o	output data	4	4	3	0	0.5	0.57	0.53	['image', 'phylogenetic tree', 'tree', 'visualizations']	['contigs database', 'genomic bins', 'profile database', 'reports']	['annotated contigs', 'bins', 'metabolic profiles']	5	1	4	3	['visualizations']	['contigs database', 'genomic bins', 'profile database', 'reports']	['image', 'phylogenetic tree', 'tree']
Anvi’o	input format	3	0	2	0	1.0	0.6	0.75	['bam', 'fasta', 'fastq']	[]	['json', 'tsv']	3	3	0	0	['bam', 'fasta', 'fastq']	[]	[]
Anvi’o	output format	5	1	3	0	0.83	0.62	0.71	['fasta', 'html', 'jpeg', 'png', 'svg']	"[""anvi'o databases""]"	['json', 'newick', 'tsv']	3	2	1	3	['fasta', 'html']	"[""anvi'o databases""]"	['jpeg', 'png', 'svg']
MEGAHIT	topic	2	2	4	0	0.5	0.33	0.4	['de novo assembly', 'metagenomics']	['genome assembly', 'succinct de bruijn graph']	['sequence analysis', 'sequence assembly', 'sequencing', 'short reads']	4	2	2	0	['de novo assembly', 'metagenomics']	['genome assembly', 'succinct de bruijn graph']	[]
MEGAHIT	operation	0	3	3	0	0.0	0.0	0.0	[]	['assembly', 'iterative contig construction', 'k-mer based graph construction']	['bruijn graph', 'genome assemby', 'metagenomic assembly']	3	0	3	0	[]	['assembly', 'iterative contig construction', 'k-mer based graph construction']	[]
MEGAHIT	input data	1	0	0	0	1.0	1.0	1.0	['sequencing reads']	[]	[]	1	1	0	0	['sequencing reads']	[]	[]
MEGAHIT	output data	0	1	1	0	0.0	0.0	0.0	[]	['assembled contigs']	['contigs']	1	0	1	0	[]	['assembled contigs']	[]
MEGAHIT	input format	2	0	0	0	1.0	1.0	1.0	['fasta', 'fastq']	[]	[]	2	2	0	0	['fasta', 'fastq']	[]	[]
MEGAHIT	output format	1	0	0	0	1.0	1.0	1.0	['fasta']	[]	[]	1	1	0	0	['fasta']	[]	[]
Kraken2	topic	1	4	3	0	0.2	0.25	0.22	['metagenomics']	['microbiome analysis', 'phylogenetics', 'taxonomic classification', 'viral metagenomics']	['sequence analysis', 'sequencing', 'taxonomic profiling']	5	1	4	0	['metagenomics']	['microbiome analysis', 'phylogenetics', 'taxonomic classification', 'viral metagenomics']	[]
Kraken2	operation	0	6	3	0	0.0	0.0	0.0	[]	['k-mer matching', 'lowest common ancestor (lca) assignment', 'minimizer indexing', 'probabilistic hashing', 'spaced seeds', 'translated search']	['abundance profiling', 'sequence classification', 'taxonomic annotation']	6	0	6	0	[]	['k-mer matching', 'lowest common ancestor (lca) assignment', 'minimizer indexing', 'probabilistic hashing', 'spaced seeds', 'translated search']	[]
Kraken2	input data	0	3	1	0	0.0	0.0	0.0	[]	['amino acid sequences', 'nucleotide sequences', 'raw sequencing reads']	['sequencing reads']	3	0	3	0	[]	['amino acid sequences', 'nucleotide sequences', 'raw sequencing reads']	[]
Kraken2	output data	0	2	2	0	0.0	0.0	0.0	[]	['classification report', 'taxonomic labels for reads']	['abundance table', 'taxonomic annotation']	2	0	2	0	[]	['classification report', 'taxonomic labels for reads']	[]
Kraken2	input format	1	1	0	0	0.5	1.0	0.67	['fastq']	['fasta']	[]	2	1	1	0	['fastq']	['fasta']	[]
Kraken2	output format	2	3	0	0	0.4	1.0	0.57	['html', 'tsv']	['biom', 'pavian-compatible format', 'standard text report']	[]	3	0	3	2	[]	['biom', 'pavian-compatible format', 'standard text report']	['html', 'tsv']
